date,ticker,close,currency,source
2026-09-08,ALAB,310.4,USD,sheet
2026-09-08,ALMU,12.94,USD,sheet
2026-09-08,AMAT,454.71,USD,sheet
2026-09-08,AMD,477.57,USD,sheet
2026-09-08,AMKR,47.77,USD,sheet
2026-09-08,AMZN,258.51,USD,sheet
2026-09-08,ARM,252.09,USD,sheet
2026-09-08,ASML,1714.88,USD,sheet
2026-09-08,ASTS,65.06,USD,sheet
2026-09-08,ASX,37.51,USD,sheet
2026-09-08,AVGO,357.9,USD,sheet
2026-09-08,AXTI,61.64,USD,sheet
2026-09-08,BABA,113.24,USD,sheet
2026-09-08,BE,252.87,USD,sheet
2026-09-08,BOT,26.8,USD,sheet
2026-09-08,BRUN,17.64,USD,sheet
2026-09-08,BULL,9.74,USD,sheet
2026-09-08,BWA,67.54,USD,sheet
2026-09-08,CAMT,145.72,USD,sheet
2026-09-08,CATL,348.2,CNY,sheet
2026-09-08,CBRS,210.05,USD,sheet
2026-09-08,CCXI,13.4,USD,sheet
2026-09-08,CEG,298.96,USD,sheet
2026-09-08,CIFR,17.74,USD,sheet
2026-09-08,COHR,281.86,USD,sheet
2026-09-08,COIN,184.64,USD,sheet
2026-09-08,CRCL,62.61,USD,sheet
2026-09-08,CRWV,89.36,USD,sheet
2026-09-08,DASH,211.73,USD,sheet
2026-09-08,DJT,9.02,USD,sheet
2026-09-08,DRAM,5.9,USD,sheet
2026-09-08,ENS,181.91,USD,sheet
2026-09-08,EOS,21.62,USD,sheet
2026-09-08,ETHA,18.52,USD,sheet
2026-09-08,ETN,410.85,USD,sheet
2026-09-08,EWY,188.87,USD,sheet
2026-09-08,FCEL,14.95,USD,sheet
2026-09-08,FDX,322.52,USD,sheet
2026-09-08,FN,407.4,USD,sheet
2026-09-08,FORD,14.62,USD,sheet
2026-09-08,GEV,941.95,USD,sheet
2026-09-08,GFS,45.21,USD,sheet
2026-09-08,GLW,154.3,USD,sheet
2026-09-08,GM,86.32,USD,sheet
2026-09-08,GOOGL,338.46,USD,sheet
2026-09-08,HIMS,27.71,USD,sheet
2026-09-08,HIMX,13.68,USD,sheet
2026-09-08,HOOD,122.11,USD,sheet
2026-09-08,IBIT,45.23,USD,sheet
2026-09-08,IBM,234.89,USD,sheet
2026-09-08,INTC,95.8,USD,sheet
2026-09-08,IONQ,39.52,USD,sheet
2026-09-08,IQE,48.25,GBX,sheet
2026-09-08,IREN,44.68,USD,sheet
2026-09-08,JBL,310.57,USD,sheet
